panel,model_year,engine_family,carryover_family,lineage_root,lineage_depth
nonroad,2011,BLGCL02.5S4Q,4LGCL02.5S4Q,BLGCL02.5S4Q,0
nonroad,2011,BJDXL02.9139,3JDXL02.9050,BJDXL02.9139,0
nonroad,2011,BJCGL0.42D1N,AJCGL0.42D1N,BJCGL0.42D1N,0
nonroad,2012,CYDXL2.09K4N,BYDXL2.09K4N,CYDXL2.09K4N,0
nonroad,2011,BFDUL0.2918D,AFDUL0.2918D,BFDUL0.2918D,0
nonroad,2011,BTLEL3.994TA,8TLEL3.994TA,BTLEL3.994TA,0
nonroad,2011,BSHLL1.36LDE,,BSHLL1.36LDE,0
nonroad,2011,BSHLL1.53DDD,,BSHLL1.53DDD,0
nonroad,2011,BSHLL2.16DDD,,BSHLL2.16DDD,0
nonroad,2011,BCEXL019.AAD,ACEXL019.AAD,BCEXL019.AAD,0
nonroad,2011,BYNDL2.55AAA,,BYNDL2.55AAA,0
nonroad,2012,CCEXL030.AAD,BCEXL030.AAD,CCEXL030.AAD,0
nonroad,2012,CCEXL0540AAB,BCEXL0540AAB,CCEXL0540AAB,0
nonroad,2012,CJDXL09.0140,,CJDXL09.0140,0
nonroad,2012,CVPXL16.1ACB,BVPXL16.1ACB,CVPXL16.1ACB,0
nonroad,2012,CCEXL11.9AAA,,CCEXL11.9AAA,0
nonroad,2012,CSZXL02.2UXA,8SZXL02.2UXA,CSZXL02.2UXA,0
nonroad,2012,CSZXL02.2VNA,8SZXL02.2VNA,CSZXL02.2VNA,0
nonroad,2012,CMMLL01.8C35,BMMLL01.8C35,CMMLL01.8C35,0
nonroad,2012,CKBXL03.6BCD,BKBXL03.6BCD,CKBXL03.6BCD,0
nonroad,2012,CH3XL1.49NTV,,CH3XL1.49NTV,0
nonroad,2012,CPKXL04.4NM2,BPKXL04.4NM2,CPKXL04.4NM2,0
nonroad,2012,CPKXL04.4NH1,BPKXL04.4NH1,CPKXL04.4NH1,0
nonroad,2012,CWKPL0.436KP,BWKPL0.436KP,BWKPL0.436KP,1
nonroad,2012,CLGCL02.0L3L,ALGCL02.0L3L,CLGCL02.0L3L,0
nonroad,2012,CCPXL15.2ESW,BCPXL15.2ESW,CCPXL15.2ESW,0
nonroad,2012,CH3XL1.13SLC,BH3XL1.13SLC,CH3XL1.13SLC,0
nonroad,2012,CH3XL2.22TCC,BH3XL2.22TCC,CH3XL2.22TCC,0
nonroad,2012,CSHLL1.36LDE,BSHLL1.36LDE,BSHLL1.36LDE,1
nonroad,2012,CSHLL1.53LDE,BSHLL1.53LDE,BSHLL1.53LDE,1
nonroad,2012,CKLXL06.7AAG,BKLXL06.7AAG,CKLXL06.7AAG,0
nonroad,2012,CMMLL03.5N79,,CMMLL03.5N79,0
nonroad,2012,CDZXL07.1005,,CDZXL07.1005,0
nonroad,2011,BKMCL2.39A45,,BKMCL2.39A45,0
nonroad,2012,CYDXL1.11Y3N,BYDXL1.11Y3N,CYDXL1.11Y3N,0
nonroad,2012,CKMCL1.71A31,8KMCL1.71A31,CKMCL1.71A31,0
nonroad,2012,CFHML0.435CH,BFHML0.435CH,BFHML0.435CH,1
nonroad,2012,CCHCL0.79AAA,BCHCL0.79AAA,BCHCL0.79AAA,1
nonroad,2012,CFPXL04.5SCB,,CFPXL04.5SCB,0
nonroad,2012,CMVXL01.8EEE,BMVXL01.8EEE,CMVXL01.8EEE,0
nonroad,2012,CMVXL02.5FFF,BMVXL02.5FFF,CMVXL02.5FFF,0
nonroad,2012,CKMCL2.39A45,BKMCL2.39A45,BKMCL2.39A45,1
nonroad,2012,CFLTL.418AGA,BFLTL.418AGA,BFLTL.418AGA,1
nonroad,2012,CHZXL.347C30,BHYXL.347C30,CHZXL.347C30,0
nonroad,2012,CSCLL02.7V49,BSCLL02.7V49,CSCLL02.7V49,0
nonroad,2012,CSCLL02.7V58,BSCLL02.7V58,CSCLL02.7V58,0
nonroad,2012,CDZXL03.6084,BDZXL03.6084,CDZXL03.6084,0
nonroad,2012,CTIEL02.51DZ,,CTIEL02.51DZ,0
nonroad,2012,CDCLL02.2D7T,BDCLL02.2D7T,BDCLL02.2D7T,1
nonroad,2012,CDCLL02.4B7T,BDCLL02.4B7T,BDCLL02.4B7T,1
nonroad,2012,CCPXL27.0ESJ,ACPXL27.0ESK,CCPXL27.0ESJ,0
nonroad,2012,CHZXL.667C82,BHYXL.667C82,CHZXL.667C82,0
nonroad,2012,CKHXL2.19CH2,BLBDL2.19CH2,CKHXL2.19CH2,0
nonroad,2012,CY9XL16.4CAA,BY9XL16.4CAA,CY9XL16.4CAA,0
nonroad,2012,CHZXL3.43C42,BHZXL3.43C43,CHZXL3.43C42,0
nonroad,2012,CKHXL.686SF2,BLBDL.686SF2,CKHXL.686SF2,0
nonroad,2012,CICLL1.12B3G,BICLL1.12B3G,CICLL1.12B3G,0
nonroad,2012,CCZKL.418F86,,CCZKL.418F86,0
nonroad,2012,CFZWL0.42AAA,BFZWL0.42AAA,BFZWL0.42AAA,1
nonroad,2012,CDZXL06.1007,,CDZXL06.1007,0
nonroad,2012,CYDXL0.44J1N,BYDXL0.44J1N,CYDXL0.44J1N,0
nonroad,2012,CCEXL15.0AAA,,CCEXL15.0AAA,0
nonroad,2012,CCPXL32.0HZA,BCPXL32.0HZA,CCPXL32.0HZA,0
nonroad,2012,CLHAL12.0TEC,,CLHAL12.0TEC,0
nonroad,2013,DCEXL0275AAK,CCEXL0275AAK,CCEXL0275AAK,1
nonroad,2013,DCEXL11.9AAA,CCEXL11.9AAA,CCEXL11.9AAA,1
nonroad,2012,CPKXL06.6BK1,,CPKXL06.6BK1,0
nonroad,2012,CAELL2.14FTD,,CAELL2.14FTD,0
nonroad,2012,CYDXL3.05K4N,BYDXL3.05K4N,CYDXL3.05K4N,0
nonroad,2013,DFPXL12.9TR4,CFPXL12.9TR4,CFPXL12.9TR4,1
nonroad,2013,DFPXL08.7EVG,CFPXL08.7EVG,CFPXL08.7EVG,1
nonroad,2013,DFPXL06.7DGB,CFPXL06.7DGB,CFPXL06.7DGB,1
nonroad,2013,DKLXL23.2FD5,CKLXL23.2FD5,CKLXL23.2FD5,1
nonroad,2013,DCEXL023.AAB,CCEXL023.AAB,CCEXL023.AAB,1
nonroad,2012,CJDXL06.8210,,CJDXL06.8210,0
nonroad,2013,DCEXL15.0AAA,CCEXL15.0AAA,CCEXL15.0AAA,1
nonroad,2013,DCEXL15.0AAI,CCEXL15.0AAI,CCEXL15.0AAI,1
nonroad,2013,DVPXL09.4BAA,CVPXL09.4BAA,CVPXL09.4BAA,1
nonroad,2013,DVSXL12.8T4I,CVSXL12.8T4I,CVSXL12.8T4I,1
nonroad,2013,DVSXL16.1T4I,CVSXL16.1T4I,CVSXL16.1T4I,1
nonroad,2013,DKBXL.276KCB,,DKBXL.276KCB,0
nonroad,2013,DFPXL06.7SCB,CFPXL06.7SCB,CFPXL06.7SCB,1
nonroad,2013,DFPXL04.5SCB,CFPXL04.5SCB,CFPXL04.5SCB,1
nonroad,2013,DKBXL01.1DCB,,DKBXL01.1DCB,0
nonroad,2013,DFPXL03.4CDD,,DFPXL03.4CDD,0
nonroad,2013,DCPXL11.1ESJ,CCPXL11.1ESJ,CCPXL11.1ESJ,1
nonroad,2012,CMVXL24.5BBA,,CMVXL24.5BBA,0
nonroad,2013,DJDXL06.8106,,DJDXL06.8106,0
nonroad,2012,CVWXL02.0CPY,,CVWXL02.0CPY,0
nonroad,2013,DH3XL2.22L84,CH3XL2.22L84,CH3XL2.22L84,1
nonroad,2014,EKBXL01.1DCB,DKBXL01.1DCB,DKBXL01.1DCB,1
nonroad,2012,CCPXL27.0HXA,BCPXL27.0HXA,CCPXL27.0HXA,0
nonroad,2012,CCPXL32.0HXA,BCPXL32.0HXA,CCPXL32.0HXA,0
nonroad,2012,CDZXL03.1041,,CDZXL03.1041,0
nonroad,2013,DICLL1.12B3X,,DICLL1.12B3X,0
nonroad,2012,CCPXL12.5HPB,BCPXL12.5HPA,CCPXL12.5HPB,0
nonroad,2012,CCPXL15.2HPA,BCPXL15.2HPA,CCPXL15.2HPA,0
nonroad,2012,CCPXL12.5HPA,BCPXL12.5HPA,CCPXL12.5HPA,0
nonroad,2013,DJDXL02.9121,,DJDXL02.9121,0
nonroad,2012,CCPXL15.2ESJ,BCPXL15.2ESW,CCPXL15.2ESJ,0
nonroad,2012,CCPXL08.8NZS,BCPXL08.8NZS,CCPXL08.8NZS,0
nonroad,2013,DMBXL07.2RJB,BMBXL07.2RJB,DMBXL07.2RJB,0
nonroad,2013,DYDXL1.64NDA,,DYDXL1.64NDA,0
nonroad,2013,DKBXL03.8CKD,,DKBXL03.8CKD,0
nonroad,2013,DKBXL06.1AMD,CKBXL06.1AMD,CKBXL06.1AMD,1
nonroad,2013,DKMCL2.28A47,,DKMCL2.28A47,0
nonroad,2013,DMVXL33.9BBA,8MVXL33.9BBA,DMVXL33.9BBA,0
nonroad,2013,DJDXL06.8105,CJDXL06.8105,DJDXL06.8105,0
nonroad,2013,DNFXL03.0DD1,CNFXL03.0DD1,CNFXL03.0DD1,1
nonroad,2013,DKMCL1.17A33,8KMCL1.17A33,DKMCL1.17A33,0
nonroad,2013,DDZXL04.8024,,DDZXL04.8024,0
nonroad,2013,DKHXL.442155,,DKHXL.442155,0
nonroad,2013,DMVXL01.0EEE,,DMVXL01.0EEE,0
nonroad,2013,DDZXL02.9020,,DDZXL02.9020,0
nonroad,2013,DDCLL01.8F7T,,DDCLL01.8F7T,0
nonroad,2014,ESIDL03.3G7A,DSIDL03.3G7A,CSIDL03.3G7A,2
nonroad,2013,DMVXL03.3GGG,,DMVXL03.3GGG,0
nonroad,2013,DHZXL.445V43,,DHZXL.445V43,0
nonroad,2014,EKLXL23.2FD5,CKLXL23.2FD5,CKLXL23.2FD5,1
nonroad,2014,ECEXL023.AAB,CCEXL023.AAB,CCEXL023.AAB,1
nonroad,2013,DMMLL02.7NEF,,DMMLL02.7NEF,0
nonroad,2014,EJDXL02.9216,,EJDXL02.9216,0
nonroad,2014,EKHXL.34935D,,EKHXL.34935D,0
nonroad,2013,DMMLL02.7C49,,DMMLL02.7C49,0
nonroad,2013,DCPXL08.8NZS,CCPXL08.8NZS,CCPXL08.8NZS,1
nonroad,2014,EVPXL16.1ACB,DVPXL16.1ACB,CVPXL16.1ACB,2
nonroad,2013,DPKXL06.6PJ2,CPKXL06.6PJ2,CPKXL06.6PJ2,1
nonroad,2014,ECEXL13.0AAA,,ECEXL13.0AAA,0
nonroad,2014,EVSXL12.8T4F,,EVSXL12.8T4F,0
nonroad,2014,ECEXL60.0AAA,DCEXL60.0AAA,DCEXL60.0AAA,1
nonroad,2014,EDICL05.8HTB,CDICL05.8HTB,CDICL05.8HTB,1
nonroad,2013,DYDXL1.50L3T,CYDXL1.50K3T,CYDXL1.50K3T,1
nonroad,2013,DYDXL2.00L4T,CYDXL2.00N4T,CYDXL2.00N4T,1
nonroad,2013,DCPXL18.1NYS,CCPXL18.1NYS,CCPXL18.1NYS,1
nonroad,2013,DVPXL16.1CDA,CVPXL16.1CDA,CVPXL16.1CDA,1
nonroad,2014,EKBXL.325KCB,DKBXL.325KCB,DKBXL.325KCB,1
nonroad,2013,DKBXL.719KCB,,DKBXL.719KCB,0
nonroad,2014,EPKXL06.6PJ1,DPKXL06.6PJ1,CPKXL06.6PJ1,2
nonroad,2013,DPKXL18.1TAG,,DPKXL18.1TAG,0
nonroad,2013,DCPXL15.2HZA,CCPXL15.2HZA,CCPXL15.2HZA,1
nonroad,2013,DCPXL18.1HZA,CCPXL18.1HZA,CCPXL18.1HZA,1
