panel,model_year,engine_family,engine_code,engine_test_model,pollutant,test_type,cert_result,adj_result,standard,fel,fcl,df_type,df_value,units
highway,2026,TAGIE06.0CNG,6LCNG,6.0L 2V CNG,CO2,transient,539.0,539.2,,555.0,539.0,,,g/bhp-hr
highway,2026,TAGIE06.0CNG,6LCNG,6.0L 2V CNG,CO,transient,4.0,4.04,14.4,,,,,g/bhp-hr
highway,2026,TAGIE06.0CNG,6LCNG,6.0L 2V CNG,HCHO,transient,0.0,0.0,,,,,,g/bhp-hr
highway,2026,TAGIE06.0CNG,6LCNG,6.0L 2V CNG,CH4,transient,0.16,0.159,,,,,,g/bhp-hr
highway,2026,TAGIE06.0CNG,6LCNG,6.0L 2V CNG,NOx,transient,0.01,0.006,0.2,0.01,,,,g/bhp-hr
highway,2026,TAGIE06.0CNG,6LCNG,6.0L 2V CNG,N2O,transient,0.02,0.018000000000000002,,,,,,g/bhp-hr
highway,2026,TAGIE06.0CNG,6LCNG,6.0L 2V CNG,NMHC,transient,0.0,0.003,0.14,0.0,,,,g/bhp-hr
highway,2026,TAGIE06.0CNG,6LCNG,6.0L 2V CNG,PM,transient,0.0,0.005,0.01,0.0,,,,g/bhp-hr
highway,2026,TBAFE06.6BNG,MISUZ-1,HDE-6.6L,CO2,transient,,,,646.0,,Transient Additive,0.0,g/bhp-hr
highway,2026,TBAFE06.6BNG,MISUZ-1,HDE-6.6L,CO,transient,1.7,1.07,14.4,,,Transient Multiplicative,1.6,g/bhp-hr
highway,2026,TBAFE06.6BNG,MISUZ-1,HDE-6.6L,CH4,transient,,,,0.06,,Transient Additive,0.02,g/bhp-hr
highway,2026,TBAFE06.6BNG,MISUZ-1,HDE-6.6L,NOx,transient,0.06,0.043000000000000003,0.2,,,Transient Multiplicative,1.3,g/bhp-hr
highway,2026,TBAFE06.6BNG,MISUZ-1,HDE-6.6L,N2O,transient,,,,0.05,,Transient Additive,0.02,g/bhp-hr
highway,2026,TBAFE06.6BNG,MISUZ-1,HDE-6.6L,NMHC,transient,0.09,0.045000000000000005,0.14,,,Transient Multiplicative,1.9000000000000001,g/bhp-hr
highway,2026,TBAFE07.3BNG,LC2E-K,EF-7.3L,CO2,transient,,,,646.0,,Transient Additive,0.0,g/bhp-hr
highway,2026,TBAFE07.3BNG,LC2E-K,EF-7.3L,CO,transient,4.4,2.75,,8.2,,Transient Multiplicative,1.6,g/bhp-hr
highway,2026,TBAFE07.3BNG,LC2E-K,EF-7.3L,CH4,transient,,,,0.4,,Transient Additive,0.02,g/bhp-hr
highway,2026,TBAFE07.3BNG,LC2E-K,EF-7.3L,NOx,transient,0.07,0.053000000000000005,,0.1,,Transient Multiplicative,1.3,g/bhp-hr
highway,2026,TBAFE07.3BNG,LC2E-K,EF-7.3L,N2O,transient,,,,0.05,,Transient Additive,0.02,g/bhp-hr
highway,2026,TBAFE07.3BNG,LC2E-K,EF-7.3L,NMHC,transient,0.01,0.003,,0.07,,Transient Multiplicative,1.9000000000000001,g/bhp-hr
highway,2026,TBAFE07.3BW7,BAD_7.3,EF-7.3L,CO,transient,1.5,0.93,14.4,,,Transient Multiplicative,1.6,g/bhp-hr
highway,2026,TBAFE07.3BW7,BAD_7.3,EF-7.3L,NOx,transient,0.02,0.017,,0.06,,Transient Multiplicative,1.3,g/bhp-hr
highway,2026,TBAFE07.3BW7,BAD_7.3,EF-7.3L,NMHC,transient,0.0,0.0,0.14,,,Transient Multiplicative,1.9000000000000001,g/bhp-hr
highway,2026,TBAFE07.3BWS,BAD_7.3,EF-7.3L,CO,transient,1.5,0.93,14.4,,,Transient Multiplicative,1.6,g/bhp-hr
