panel,model_year,engine_family,engine_model,engine_code,displacement_l,certification_fuel,engine_operation,test_procedure,test_procedure_type
nonroad,2011,BLGCL02.5S4Q,S4QL,S4QL,2.5050000000000003,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2011,BJDXL02.9139,3029TF270A,3029T,2.9,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2011,BJCGL0.42D1N,CF186F,1,0.41800000000000004,100ppm low sulfur diesel,Constant Speed,Steady-State 5-Mode Cycle,Ramped-Modal Testing
nonroad,2012,CYDXL2.09K4N,4TNV86TK-VM1,,2.091,300-500 ppm Low Sulfur Diesel,Transportation Refrigeration Unit Cycle, Transportation Refrigeration Unit Cycle,Discrete-Modal Testing
nonroad,2011,BFDUL0.2918D,18D,18D21,0.29,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Ramped-Modal Testing
nonroad,2011,BTLEL3.994TA,1004D-4TA74,,3.99,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2011,BSHLL1.36LDE,LL380T,,1.357,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 6-Mode Cycle,Discrete-Modal Testing
nonroad,2011,BSHLL1.53DDD,KM385D,,1.532,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2011,BSHLL2.16DDD,4L22D,,2.156,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2011,BCEXL019.AAD,QSK19-C,8533:FR4431,19.0,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2011,BYNDL2.55AAA,YSD490ZLD,,2.545,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CCEXL030.AAD,QST30-G,2717:FR5269,30.0,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Ramped-Modal Testing
nonroad,2012,CCEXL0540AAB,QSL,3301:FR93008,8.9,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Ramped-Modal Testing
nonroad,2012,CJDXL09.0140,6090H,6090HPRNT3,8.984,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CVPXL16.1ACB,TAD1642GE,3,16.12,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CCEXL11.9AAA,QSX11.9C,3597:20329,11.946,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2012,CSZXL02.2UXA,AU-4LE2X,4LE2XCUAA-01,2.2,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2012,CSZXL02.2VNA,AV-4LE1,4LE1NCVEA-01,2.2,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2012,CMMLL01.8C35,CE35,,1.8920000000000001,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CKBXL03.6BCD,V3600-ET,V3600-ET01,3.621,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2012,CH3XL1.49NTV,GL25/1800,403D-15T,1.496,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 6-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CPKXL04.4NM2,2972/2200,1,4.399,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CPKXL04.4NH1,3468/1800,1,4.399,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CWKPL0.436KP,,,,,,,
nonroad,2012,CLGCL02.0L3L,L3AL,L3AL,2.003,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CCPXL15.2ESW,C15,Cert Test 1,15.200000000000001,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CH3XL1.13SLC,GJ26/3000C,403D-11,1.1320000000000001,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CH3XL2.22TCC,GR49/1800C,404D-22TA,2.217,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CSHLL1.36LDE,,,,,,,
nonroad,2012,CSHLL1.53LDE,,,,,,,
nonroad,2012,CKLXL06.7AAG,QSB6.7,3095:FR92543,6.69,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2012,CMMLL03.5N79,VNE479,VNE479,3.532,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CDZXL07.1005,TAD765VE,C4SI235,7.1450000000000005,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2011,BKMCL2.39A45,A2400T-Gen1,,2.392,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CYDXL1.11Y3N,3TNV76-CH,,1.116,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CKMCL1.71A31,A1700N1,,1.715,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CFHML0.435CH,,,,,,,
nonroad,2012,CCHCL0.79AAA,,,,,,,
nonroad,2012,CFPXL04.5SCB,F4HFE413L*A,F4HFE413L*A,4.485,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2012,CMVXL01.8EEE,S4L2-T,S4L2-Y3TEPA,1.8,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CMVXL02.5FFF,S3Q2-T,S3Q2-Y3TEPA1,1.9000000000000001,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CKMCL2.39A45,A2400T-Gen1,,2.392,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CFLTL.418AGA,,,,,,,
nonroad,2012,CHZXL.347C30,B30-3000,1B30,0.34700000000000003,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CSCLL02.7V49,SJ327E,,2.701,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CSCLL02.7V58,TSJ327E_TCIC,,2.701,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
