panel,model_year,engine_family,engine_code,engine_test_model,pollutant,test_type,cert_result,units,fel,standard,adj_result,fcl
nonroad,2011,BLGCL02.5S4Q,S4QL,,NMHC,steady_state,0.02,g/kW-hr,,,,
nonroad,2011,BJDXL02.9139,3029T,,NMHC,steady_state,0.48,g/kW-hr,,,,
nonroad,2011,BJCGL0.42D1N,1,,NMHC,steady_state,0.62,g/kW-hr,,,,
nonroad,2012,CYDXL2.09K4N,,,NMHC,steady_state,0.77,g/kW-hr,,,,
nonroad,2011,BFDUL0.2918D,18D21,,NMHC,steady_state,1.21,g/kW-hr,,,,
nonroad,2011,BTLEL3.994TA,,,NMHC,steady_state,0.25,g/kW-hr,,,,
nonroad,2011,BSHLL1.36LDE,,,NMHC,steady_state,0.49,g/kW-hr,,,,
nonroad,2011,BSHLL1.53DDD,,,NMHC,steady_state,0.52,g/kW-hr,,,,
nonroad,2011,BSHLL2.16DDD,,,NMHC,steady_state,0.5,g/kW-hr,,,,
nonroad,2011,BCEXL019.AAD,8533:FR4431,,NMHC,steady_state,0.15,g/kW-hr,,,,
nonroad,2011,BYNDL2.55AAA,,,NMHC,steady_state,0.57,g/kW-hr,,,,
nonroad,2012,CCEXL030.AAD,2717:FR5269,,NMHC,steady_state,0.24,g/kW-hr,,,,
nonroad,2012,CCEXL0540AAB,3301:FR93008,,NMHC,steady_state,0.21,g/kW-hr,,,,
nonroad,2012,CJDXL09.0140,6090HPRNT3,,NMHC,steady_state,0.11,g/kW-hr,,,,
nonroad,2012,CVPXL16.1ACB,3,,NMHC,steady_state,0.2,g/kW-hr,,,,
nonroad,2012,CCEXL11.9AAA,3597:20329,,NMHC,steady_state,0.03,g/kW-hr,,,,
nonroad,2012,CSZXL02.2UXA,4LE2XCUAA-01,,NMHC,steady_state,0.34,g/kW-hr,,,,
nonroad,2012,CSZXL02.2VNA,4LE1NCVEA-01,,NMHC,steady_state,0.15,g/kW-hr,,,,
nonroad,2012,CMMLL01.8C35,,,NMHC,steady_state,0.58,g/kW-hr,,,,
nonroad,2012,CKBXL03.6BCD,V3600-ET01,,NMHC,steady_state,0.29,g/kW-hr,,,,
nonroad,2012,CH3XL1.49NTV,403D-15T,,NMHC,steady_state,0.31,g/kW-hr,,,,
nonroad,2012,CPKXL04.4NM2,1,,NMHC,steady_state,0.12,g/kW-hr,,,,
nonroad,2012,CPKXL04.4NH1,1,,NMHC,steady_state,0.29,g/kW-hr,,,,
nonroad,2012,CLGCL02.0L3L,L3AL,,NMHC,steady_state,0.06,g/kW-hr,,,,
nonroad,2012,CCPXL15.2ESW,Cert Test 1,,NMHC,steady_state,0.08,g/kW-hr,,,,
nonroad,2012,CH3XL1.13SLC,403D-11,,NMHC,steady_state,0.61,g/kW-hr,,,,
nonroad,2012,CH3XL2.22TCC,404D-22TA,,NMHC,steady_state,0.15,g/kW-hr,,,,
nonroad,2012,CKLXL06.7AAG,3095:FR92543,,NMHC,steady_state,0.01,g/kW-hr,,,,
nonroad,2012,CMMLL03.5N79,VNE479,,NMHC,steady_state,0.13,g/kW-hr,,,,
nonroad,2012,CDZXL07.1005,C4SI235,,NMHC,steady_state,0.03,g/kW-hr,,,,
nonroad,2011,BKMCL2.39A45,,,NMHC,steady_state,0.22,g/kW-hr,,,,
nonroad,2012,CYDXL1.11Y3N,,,NMHC,steady_state,0.18,g/kW-hr,,,,
nonroad,2012,CKMCL1.71A31,,,NMHC,steady_state,0.14,g/kW-hr,,,,
nonroad,2012,CFPXL04.5SCB,F4HFE413L*A,,NMHC,steady_state,0.03,g/kW-hr,,,,
nonroad,2012,CMVXL01.8EEE,S4L2-Y3TEPA,,NMHC,steady_state,0.22,g/kW-hr,,,,
nonroad,2012,CMVXL02.5FFF,S3Q2-Y3TEPA1,,NMHC,steady_state,0.25,g/kW-hr,,,,
nonroad,2012,CKMCL2.39A45,,,NMHC,steady_state,0.22,g/kW-hr,,,,
nonroad,2012,CHZXL.347C30,1B30,,NMHC,steady_state,0.96,g/kW-hr,,,,
nonroad,2012,CSCLL02.7V49,,,NMHC,steady_state,0.48,g/kW-hr,,,,
nonroad,2012,CSCLL02.7V58,,,NMHC,steady_state,0.16,g/kW-hr,,,,
nonroad,2012,CDZXL03.6084,C3CI40,,NMHC,steady_state,0.29,g/kW-hr,,,,
nonroad,2012,CTIEL02.51DZ,,,NMHC,steady_state,0.27,g/kW-hr,,,,
nonroad,2012,CCPXL27.0ESJ,Cert Test 1,,NMHC,steady_state,0.15,g/kW-hr,,,,
nonroad,2012,CHZXL.667C82,1D81Z,,NMHC,steady_state,0.51,g/kW-hr,,,,
nonroad,2012,CKHXL2.19CH2,1603,,NMHC,steady_state,0.21,g/kW-hr,,,,
nonroad,2012,CKHXL2.19CH2,1603,,NMHC,steady_state,0.21,g/kW-hr,,,,
nonroad,2012,CY9XL16.4CAA,1920596,,NMHC,steady_state,0.02,g/kW-hr,,,,
nonroad,2012,CHZXL3.43C42,4M42Z,,NMHC,steady_state,0.19,g/kW-hr,,,,
nonroad,2012,CKHXL.686SF2,,,NMHC,steady_state,0.47,g/kW-hr,,,,
nonroad,2012,CICLL1.12B3G,6285-885-267-**,,NMHC,steady_state,0.13,g/kW-hr,,,,
nonroad,2012,CCZKL.418F86,,,NMHC,steady_state,1.1,g/kW-hr,,,,
nonroad,2012,CDZXL06.1007,C4FI160,,NMHC,steady_state,0.05,g/kW-hr,,,,
nonroad,2012,CYDXL0.44J1N,,,NMHC,steady_state,0.89,g/kW-hr,,,,
nonroad,2012,CCEXL15.0AAA,3797:FR11014,,NMHC,steady_state,0.0,g/kW-hr,,,,
nonroad,2012,CCPXL32.0HZA,Cert Test 1,,NMHC,steady_state,0.16,g/kW-hr,,,,
nonroad,2012,CLHAL12.0TEC,D946 R06K72001,,NMHC,steady_state,0.0,g/kW-hr,,,,
nonroad,2013,DCEXL0275AAK,2743;FR92384,,NMHC,steady_state,0.23,g/kW-hr,,,,
nonroad,2013,DCEXL11.9AAA,3597:20329,,NMHC,steady_state,0.03,g/kW-hr,,,,
nonroad,2012,CPKXL06.6BK1,1,,NMHC,steady_state,0.0,g/kW-hr,,,,
nonroad,2012,CAELL2.14FTD,D10108430,,NMHC,steady_state,0.26,g/kW-hr,,,,
nonroad,2012,CYDXL3.05K4N,,,NMHC,steady_state,0.58,g/kW-hr,,,,
nonroad,2013,DFPXL12.9TR4,F3BFE613A*A,,NMHC,steady_state,0.02,g/kW-hr,,,,
nonroad,2013,DFPXL08.7EVG,F2CFE614A*A,,NMHC,steady_state,0.02,g/kW-hr,,,,
